"region";"år";"statistikkvariabel";"07459: Befolkning, etter region, år og statistikkvariabel"
"0101 Halden (-2019)";"1986";"Personer";25844
"0101 Halden (-2019)";"1987";"Personer";25807
"0101 Halden (-2019)";"1988";"Personer";25848
"0101 Halden (-2019)";"1989";"Personer";25841
"0101 Halden (-2019)";"1990";"Personer";25816
"0101 Halden (-2019)";"1991";"Personer";25852
"0101 Halden (-2019)";"1992";"Personer";25831
"0101 Halden (-2019)";"1993";"Personer";25896
"0101 Halden (-2019)";"1994";"Personer";25908
"0101 Halden (-2019)";"1995";"Personer";25953
"0101 Halden (-2019)";"1996";"Personer";26021
"0101 Halden (-2019)";"1997";"Personer";26162
"0101 Halden (-2019)";"1998";"Personer";26417
"0101 Halden (-2019)";"1999";"Personer";26523
"0101 Halden (-2019)";"2000";"Personer";26733
"0101 Halden (-2019)";"2001";"Personer";27133
"0101 Halden (-2019)";"2002";"Personer";27204
"0101 Halden (-2019)";"2003";"Personer";27438
"0101 Halden (-2019)";"2004";"Personer";27464
"0101 Halden (-2019)";"2005";"Personer";27582
"0101 Halden (-2019)";"2006";"Personer";27722
"0101 Halden (-2019)";"2007";"Personer";27835
"0101 Halden (-2019)";"2008";"Personer";28092
"0101 Halden (-2019)";"2009";"Personer";28389
"0101 Halden (-2019)";"2010";"Personer";28776
"0101 Halden (-2019)";"2011";"Personer";29220
"0101 Halden (-2019)";"2012";"Personer";29543
"0101 Halden (-2019)";"2013";"Personer";29880
"0101 Halden (-2019)";"2014";"Personer";30132
"0101 Halden (-2019)";"2015";"Personer";30328
"0101 Halden (-2019)";"2016";"Personer";30544
"0101 Halden (-2019)";"2017";"Personer";30790
"0101 Halden (-2019)";"2018";"Personer";31037
"0101 Halden (-2019)";"2019";"Personer";31177
"0104 Moss (-2019)";"1986";"Personer";24548
"0104 Moss (-2019)";"1987";"Personer";24668
"0104 Moss (-2019)";"1988";"Personer";24747
"0104 Moss (-2019)";"1989";"Personer";24720
"0104 Moss (-2019)";"1990";"Personer";24657
"0104 Moss (-2019)";"1991";"Personer";24725
"0104 Moss (-2019)";"1992";"Personer";24805
"0104 Moss (-2019)";"1993";"Personer";25013
